geometry,seed,expected_hits_total,n_launches,low_hit,v_direct,v_denial,v_denial_raw,route_changed,hazard_at_tauT,lambda_tag
long_low_hit,10,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,11,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,12,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,13,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,14,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,15,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,16,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,17,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,18,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,19,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,20,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,21,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,22,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,23,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,24,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,25,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,26,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,27,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,28,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,29,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,30,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
