task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
sampling,20051,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",65.48778673330428,1,SUCCESS,1,"(1, 0, 2, 0)"
sampling,20052,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",150.08298372049467,1,SUCCESS,1,"(1, 0, 2, 1)"
sampling,20053,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",224.12631641625194,0,SUCCESS,1,"(1, 0, 2, 2)"
sampling,20054,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",266.10130662471056,0,SUCCESS,1,"(1, 0, 3, 0)"
sampling,20055,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",269.7203948220704,0,SUCCESS,1,"(1, 0, 3, 1)"
sampling,20056,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",224.51904232629664,0,SUCCESS,1,"(1, 0, 3, 2)"
sampling,20057,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",262.3545460514724,0,SUCCESS,1,"(1, 0, 4, 0)"
sampling,20058,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",204.83742194375736,0,SUCCESS,1,"(1, 0, 4, 1)"
sampling,20059,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",80.59811954338198,1,SUCCESS,1,"(1, 0, 4, 2)"
sampling,20060,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",72.32985427639687,1,SUCCESS,1,"(1, 1, 0, 0)"
sampling,20061,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",79.4035457031796,1,SUCCESS,1,"(1, 1, 0, 1)"
sampling,20062,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",223.79125028656637,0,SUCCESS,1,"(1, 1, 0, 2)"
sampling,20063,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",192.81591335495705,0,SUCCESS,1,"(1, 1, 1, 0)"
sampling,20064,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",131.56586437211809,1,SUCCESS,1,"(1, 1, 1, 1)"
sampling,20065,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",193.8537966652948,0,SUCCESS,1,"(1, 1, 1, 2)"
sampling,20066,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",190.3241264351318,0,SUCCESS,1,"(1, 1, 2, 0)"
sampling,20067,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",276.39516039310456,0,SUCCESS,1,"(1, 1, 2, 1)"
sampling,20068,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",190.64380343442122,0,SUCCESS,1,"(1, 1, 2, 2)"
sampling,20069,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",210.98710598540492,0,SUCCESS,1,"(1, 1, 3, 0)"
sampling,20070,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",223.22393660695525,0,SUCCESS,1,"(1, 1, 3, 1)"
sampling,20071,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",146.90614433053855,1,SUCCESS,1,"(1, 1, 3, 2)"
sampling,20072,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",110.56318350462243,1,SUCCESS,1,"(1, 1, 4, 0)"
sampling,20073,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",112.28820508492561,1,SUCCESS,1,"(1, 1, 4, 1)"
sampling,20074,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",149.52821337532805,1,SUCCESS,1,"(1, 1, 4, 2)"
sampling,20075,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",172.0340934600681,0,SUCCESS,1,"(4, 0, 0, 0)"
sampling,20076,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",234.8439576518722,0,SUCCESS,1,"(4, 0, 0, 0)"
sampling,20077,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",228.67284824323724,0,SUCCESS,1,"(4, 0, 0, 0)"
sampling,20078,"{""modality"": ""dropout"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",197.83546436950564,0,SUCCESS,1,"(4, 0, 0, 1)"
sampling,20079,"{""modality"": ""dropout"", ""agents"": [1, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",198.05113773167795,0,SUCCESS,1,"(4, 0, 0, 1)"
sampling,20080,"{""modality"": ""dropout"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",249.42957024089992,0,SUCCESS,1,"(4, 0, 0, 2)"
sampling,20081,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",170.67341484182214,0,SUCCESS,1,"(4, 0, 1, 0)"
sampling,20082,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",217.63870254719467,0,SUCCESS,1,"(4, 0, 1, 0)"
sampling,20083,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",153.40951830775884,1,SUCCESS,1,"(4, 0, 1, 0)"
sampling,20084,"{""modality"": ""dropout"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",275.91751147806644,0,SUCCESS,1,"(4, 0, 1, 1)"
sampling,20085,"{""modality"": ""dropout"", ""agents"": [1, 2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",247.3174686189741,0,SUCCESS,1,"(4, 0, 1, 1)"
sampling,20086,"{""modality"": ""dropout"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",259.74048986323396,0,SUCCESS,1,"(4, 0, 1, 2)"
sampling,20087,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",144.54645923803218,1,SUCCESS,1,"(4, 0, 2, 0)"
sampling,20088,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",248.5728431048683,0,SUCCESS,1,"(4, 0, 2, 0)"
sampling,20089,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",166.0553829180426,0,SUCCESS,1,"(4, 0, 2, 0)"
