unit_id,track,task,method,attempted,status,reason,exception_type,exception_message,trace_path,sim_queries,sim_steps,wall_seconds,payload
sampling_val_s1_e79,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 0.0015199059426355905, ""length"": 100}"
sampling_val_s1_e80,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 275.14337934041396, ""length"": 100}"
sampling_val_s1_e81,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 103.83024994638038, ""length"": 100}"
sampling_val_s1_e82,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 77.6017114876413, ""length"": 100}"
sampling_val_s1_e83,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 163.70293162262533, ""length"": 100}"
sampling_val_s1_e84,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 211.3767507388061, ""length"": 100}"
sampling_val_s1_e85,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 255.4179791919887, ""length"": 100}"
sampling_val_s1_e86,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 271.9944062459981, ""length"": 100}"
sampling_val_s1_e87,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 183.05629001968188, ""length"": 100}"
sampling_val_s1_e88,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 207.06760644063348, ""length"": 100}"
sampling_val_s1_e89,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 301.0316212688817, ""length"": 100}"
sampling_val_s1_e90,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 200.00386333995993, ""length"": 100}"
