task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
balance,20080,"{""modality"": ""dropout"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",121.40460205078125,0,SUCCESS,1,"(4, 0, 0, 2)"
balance,20081,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",112.36846160888672,0,SUCCESS,1,"(4, 0, 1, 0)"
balance,20082,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",75.26664733886719,1,SUCCESS,1,"(4, 0, 1, 0)"
balance,20083,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",109.932861328125,0,SUCCESS,1,"(4, 0, 1, 0)"
balance,20084,"{""modality"": ""dropout"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",137.1456298828125,0,SUCCESS,1,"(4, 0, 1, 1)"
balance,20085,"{""modality"": ""dropout"", ""agents"": [1, 2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",105.16685485839844,0,SUCCESS,1,"(4, 0, 1, 1)"
balance,20086,"{""modality"": ""dropout"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 1.0}",110.9022216796875,0,SUCCESS,1,"(4, 0, 1, 2)"
balance,20087,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",105.15380859375,1,SUCCESS,1,"(4, 0, 2, 0)"
balance,20088,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",130.88145446777344,0,SUCCESS,1,"(4, 0, 2, 0)"
balance,20089,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",30.528350830078125,1,SUCCESS,1,"(4, 0, 2, 0)"
balance,20090,"{""modality"": ""dropout"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",118.01400375366211,0,SUCCESS,1,"(4, 0, 2, 1)"
balance,20091,"{""modality"": ""dropout"", ""agents"": [1, 2], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",128.72177124023438,0,SUCCESS,1,"(4, 0, 2, 1)"
balance,20092,"{""modality"": ""dropout"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 1.0}",93.9938735961914,0,SUCCESS,1,"(4, 0, 2, 2)"
balance,20093,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",130.3867950439453,0,SUCCESS,1,"(4, 0, 3, 0)"
balance,20094,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",119.38124084472656,0,SUCCESS,1,"(4, 0, 3, 0)"
balance,20095,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",123.77555465698242,0,SUCCESS,1,"(4, 0, 3, 0)"
