cell,side,opponent,T,K,W_K,S_star,LB,UB,gap,status,seconds,policy_count,iterations,n_schedules,zero_reach
head_on_v1_d16_T6_G3_none,blue,C,6,4,5.314021303566009,"[1, 2, 3, 4]",5.314020822974834,5.314021784157185,9.611823505066933e-07,certified_numeric,3.934772332999273,,,31,
head_on_v1_d16_T6_G3_none,blue,C,6,5,5.348411684396352,"[1, 2, 3, 4, 5]",5.348411203805174,5.348412164987527,9.611823531712286e-07,certified_numeric,39.472205916994426,,,32,
head_on_v1_d16_T6_G3_none,blue,F,6,0,-5.348411684396352,[],-5.34841216498753,-5.348411203805173,9.61182356817858e-07,certified_numeric,33.745400749998225,,,1,
head_on_v1_d16_T6_G3_none,blue,F,6,1,-2.146546994520465,[1],-2.1465475524343445,-2.1465464366065854,1.1158277592085704e-06,certified_numeric,2.779347374998906,,,6,
head_on_v1_d16_T6_G3_none,blue,F,6,2,4.6319744760489925e-17,"[1, 3]",-8.806930820353289e-07,8.806930821279685e-07,1.7613861641632973e-06,certified_numeric,5.0287770419963636,,,16,
head_on_v1_d16_T6_G3_none,blue,F,6,3,4.440892098500626e-16,"[1, 2, 4]",-1.0989266596981953e-06,1.0989266605863737e-06,2.197853320284569e-06,certified_numeric,14.195009208997362,,,26,
head_on_v1_d16_T6_G3_none,blue,F,6,4,4.440892098500626e-16,"[1, 2, 4]",-1.0989266596981953e-06,1.0989266605863737e-06,2.197853320284569e-06,certified_numeric,14.195009208997362,,,31,
head_on_v1_d16_T6_G3_none,blue,F,6,5,4.440892098500626e-16,"[1, 2, 4]",-1.0989266596981953e-06,1.0989266605863737e-06,2.197853320284569e-06,certified_numeric,14.195009208997362,,,32,
head_on_v1_d16_T6_G3_none,red,C,6,0,-5.796240593889458e-17,[],-4.805915816106353e-07,4.810699277909604e-07,9.616615094015958e-07,certified_numeric,1.2298811250002473,57,57,1,
head_on_v1_d16_T6_G3_none,red,C,6,1,2.1409677775406655,[3],2.1409672969494897,2.140968258131842,9.611823522830502e-07,certified_numeric,2.109987915995589,,,6,
head_on_v1_d16_T6_G3_none,red,C,6,2,4.346615421164012,"[1, 2]",4.346614940572836,4.346615901755188,9.611823513948718e-07,certified_numeric,1.9645222079998348,,,16,
head_on_v1_d16_T6_G3_none,red,C,6,3,5.244630611635731,"[1, 2, 4]",5.244630131044557,5.244631092226908,9.611823505066933e-07,certified_numeric,4.377079958001559,,,26,
head_on_v1_d16_T6_G3_none,red,C,6,4,5.31402130356601,"[1, 2, 3, 4]",5.314020822974833,5.314021784157182,9.611823487303365e-07,certified_numeric,3.9330908749980154,,,31,
head_on_v1_d16_T6_G3_none,red,C,6,5,5.348411684396352,"[1, 2, 3, 4, 5]",5.348411203805173,5.34841216498753,9.611823567239423e-07,certified_numeric,34.69599433399708,,,32,
head_on_v1_d16_T6_G3_none,red,F,6,0,-5.348411684396352,[],-5.348412164987529,-5.348411203805174,9.61182355041501e-07,certified_numeric,39.33751666700118,,,1,
head_on_v1_d16_T6_G3_none,red,F,6,1,-2.1465469945204623,[1],-2.1465475524360897,-2.146546436604835,1.1158312550788303e-06,certified_numeric,2.459725125001569,,,6,
head_on_v1_d16_T6_G3_none,red,F,6,2,-4.1542685321780964e-17,"[1, 3]",-8.806924035548788e-07,8.806924034717933e-07,1.761384807026672e-06,certified_numeric,5.228893332998268,,,16,
head_on_v1_d16_T6_G3_none,red,F,6,3,-0.0,"[1, 2, 5]",-1.1941259899801722e-06,1.1941259899801722e-06,2.3882519799603444e-06,certified_numeric,0.7328514580003684,,,26,
head_on_v1_d16_T6_G3_none,red,F,6,4,-0.0,"[1, 2, 5]",-1.1941259899801722e-06,1.1941259899801722e-06,2.3882519799603444e-06,certified_numeric,0.7328514580003684,,,31,
head_on_v1_d16_T6_G3_none,red,F,6,5,-0.0,"[1, 2, 5]",-1.1941259899801722e-06,1.1941259899801722e-06,2.3882519799603444e-06,certified_numeric,0.7328514580003684,,,32,
parallel_v0.85_d16_T6_G3_none,blue,C,6,0,-0.6742303384252264,[],-0.6742307321610291,-0.6742299446893874,7.874716417754857e-07,certified_numeric,0.5275296250038082,32,32,1,
parallel_v0.85_d16_T6_G3_none,blue,C,6,1,1.4664232116790101,[3],1.4664228179432284,1.466423605414788,7.874715595079596e-07,certified_numeric,2.494795457998407,,,6,
