policy,geometry,seed,damage_axis,damage_allies,diff,axis_win,allies_win
balanced,head_on,18,1,1,0,0,0
balanced,head_on,19,0,5,5,1,0
balanced,head_on,20,2,1,-1,0,1
balanced,head_on,21,0,2,2,1,0
balanced,head_on,22,3,0,-3,0,1
balanced,head_on,23,1,4,3,1,0
balanced,head_on,24,5,0,-5,0,1
balanced,head_on,25,2,7,5,1,0
balanced,head_on,26,9,0,-9,0,1
balanced,head_on,27,1,2,1,1,0
balanced,head_on,28,1,2,1,1,0
balanced,head_on,29,0,1,1,1,0
balanced,head_on,30,2,1,-1,0,1
balanced,head_on,31,0,12,12,1,0
balanced,head_on,32,3,5,2,1,0
balanced,head_on,33,3,2,-1,0,1
balanced,head_on,34,0,0,0,0,0
balanced,head_on,35,0,5,5,1,0
balanced,head_on,36,1,3,2,1,0
balanced,head_on,37,0,0,0,0,0
balanced,head_on,38,0,0,0,0,0
balanced,head_on,39,2,3,1,1,0
balanced,head_on,40,0,0,0,0,0
balanced,head_on,41,7,0,-7,0,1
balanced,head_on,42,3,0,-3,0,1
balanced,head_on,43,3,4,1,1,0
balanced,head_on,44,9,0,-9,0,1
balanced,head_on,45,0,3,3,1,0
balanced,head_on,46,3,4,1,1,0
balanced,head_on,47,0,12,12,1,0
