pair_id,scenario,turn,n_candidates,rho_abs_outcome,rho_norm_outcome,stake_outcome,rho_abs_damage,rho_norm_damage,stake_damage,value_divergence_outcome,value_divergence_damage,action_disagreement,confident_outcome,confident_damage
IBS-S-01_s7_t2_IBS-U-IJN-FUBUKI_1PP1P2P-0,IBS-S-01,2,4,0.0,0.0,0.46666666666666673,0.0,0.0,0.04246031746031746,0.20000000000000007,0.01825396825396826,False,True,True
IBS-S-01_s7_t2_IBS-U-IJN-HATSUYUKI_1P5-0,IBS-S-01,2,4,0.06666666666666676,0.2500000000000004,0.26666666666666666,0.017460317460317468,0.5432098765432102,0.03214285714285714,0.33333333333333337,0.05992063492063493,True,False,False
IBS-S-01_s7_t3_IBS-U-IJN-HATSUYUKI_1P1-0,IBS-S-01,3,4,0.0,0.0,0.19999999999999996,0.0,0.0,0.026406926406926406,0.1333333333333333,0.03722943722943722,True,False,False
IBS-S-01_s7_t3_IBS-U-IJN-KINUGASA_3S1P-0,IBS-S-01,3,4,0.1333333333333333,0.6666666666666666,0.19999999999999996,0.01991341991341991,0.4509803921568627,0.04415584415584416,0.19999999999999996,0.0367965367965368,True,False,True
IBS-S-01_s7_t3_IBS-U-IJN-AOBA_1S1P-0,IBS-S-01,3,4,0.0,0.0,0.19999999999999996,0.0012987012987012991,0.04918032786885248,0.026406926406926406,0.19999999999999996,0.022943722943722947,True,False,False
IBS-S-01_s7_t4_IBS-U-IJN-AOBA_1P1P1P-0,IBS-S-01,4,3,0.0,0.0,0.0,0.0,0.0,0.00709219858156028,0.0,0.026004728132387703,False,False,False
IBS-S-01_s7_t4_IBS-U-IJN-FUBUKI_3S2P-0,IBS-S-01,4,3,0.0,0.0,0.0,0.0,0.0,0.0009456264775413725,0.0,0.034042553191489355,False,False,False
IBS-S-01_s7_t4_IBS-U-IJN-FURUTAKA_1S-0,IBS-S-01,4,3,0.0,0.0,0.0,0.0,0.0,0.0009456264775413725,0.06666666666666665,0.012293144208037829,False,False,False
IBS-S-01_s8_t2_IBS-U-IJN-AOBA_2S1-0,IBS-S-01,2,4,0.06666666666666665,0.19999999999999993,0.33333333333333337,0.012048192771084335,0.3896103896103895,0.030923694779116464,0.33333333333333337,0.028915662650602407,True,True,True
IBS-S-01_s8_t2_IBS-U-IJN-FUBUKI_2S2P-0,IBS-S-01,2,4,0.0,0.0,0.4666666666666666,0.0,0.0,0.03895582329317269,0.2666666666666666,0.02650602409638554,False,True,True
