eta_v,eta_omega,geometry,R_plan,peak_ratio,share_ratio
1.25,0.7,parallel,turn+120,0.1443,0.0
1.25,0.7,parallel,turn+180,0.5069,0.025
1.25,0.7,parallel,turn-30,0.9666,0.025
1.25,0.7,parallel,turn-60,1.0,0.025
1.25,0.7,parallel,turn-90,0.0,0.0
1.25,0.7,parallel,turn-120,0.0,0.0
1.25,0.7,parallel,turn-180,0.5907,0.05
1.3,0.7,parallel,straight,0.7555,0.025
1.3,0.7,parallel,turn+30,0.2607,0.0
1.3,0.7,parallel,turn+60,0.299,0.0
1.3,0.7,parallel,turn+90,0.3378,0.0
1.3,0.7,parallel,turn+120,0.1448,0.0
1.3,0.7,parallel,turn+180,0.5544,0.025
1.3,0.7,parallel,turn-30,1.0,0.025
1.3,0.7,parallel,turn-60,0.9883,0.025
1.3,0.7,parallel,turn-90,0.0,0.0
1.3,0.7,parallel,turn-120,0.0,0.0
1.3,0.7,parallel,turn-180,0.5704,0.025
1.35,0.7,parallel,straight,0.8334,0.025
1.35,0.7,parallel,turn+30,0.2681,0.0
1.35,0.7,parallel,turn+60,0.3163,0.0
1.35,0.7,parallel,turn+90,0.1573,0.0
1.35,0.7,parallel,turn+120,0.1484,0.0
1.35,0.7,parallel,turn+180,0.589,0.025
1.35,0.7,parallel,turn-30,0.9977,0.025
1.35,0.7,parallel,turn-60,1.0,0.025
1.35,0.7,parallel,turn-90,0.0,0.0
1.35,0.7,parallel,turn-120,0.0,0.0
1.35,0.7,parallel,turn-180,0.5762,0.025
1.4,0.7,parallel,straight,0.9325,0.025
1.4,0.7,parallel,turn+30,0.7362,0.025
1.4,0.7,parallel,turn+60,0.2349,0.0
1.4,0.7,parallel,turn+90,0.1592,0.0
1.4,0.7,parallel,turn+120,0.1499,0.0
1.4,0.7,parallel,turn+180,0.5907,0.025
1.4,0.7,parallel,turn-30,0.9838,0.025
1.4,0.7,parallel,turn-60,1.0,0.025
1.4,0.7,parallel,turn-90,0.0,0.0
1.4,0.7,parallel,turn-120,0.0,0.0
1.4,0.7,parallel,turn-180,0.5735,0.025
1.45,0.7,parallel,straight,1.0,0.025
1.45,0.7,parallel,turn+30,0.7559,0.025
1.45,0.7,parallel,turn+60,0.2388,0.0
1.45,0.7,parallel,turn+90,0.179,0.0
1.45,0.7,parallel,turn+120,0.1531,0.0
1.45,0.7,parallel,turn+180,0.5743,0.025
1.45,0.7,parallel,turn-30,0.9841,0.025
1.45,0.7,parallel,turn-60,0.9485,0.025
1.45,0.7,parallel,turn-90,0.0,0.0
1.45,0.7,parallel,turn-120,0.0,0.0
1.45,0.7,parallel,turn-180,0.5773,0.025
1.5,0.7,parallel,straight,1.0,0.025
1.5,0.7,parallel,turn+30,0.8512,0.025
1.5,0.7,parallel,turn+60,0.2459,0.0
1.5,0.7,parallel,turn+90,0.2194,0.0
1.5,0.7,parallel,turn+120,0.158,0.0
1.5,0.7,parallel,turn+180,0.5388,0.025
1.5,0.7,parallel,turn-30,0.9976,0.025
1.5,0.7,parallel,turn-60,0.8887,0.025
1.5,0.7,parallel,turn-90,0.0,0.0
1.5,0.7,parallel,turn-120,0.0,0.0
1.5,0.7,parallel,turn-180,0.5868,0.025
0.75,0.7,crossing,straight,0.4068,0.0
0.75,0.7,crossing,turn+30,0.4183,0.0
0.75,0.7,crossing,turn+60,0.4157,0.0
0.75,0.7,crossing,turn+90,0.0,0.0
0.75,0.7,crossing,turn+120,0.7876,0.025
0.75,0.7,crossing,turn+180,1.0,0.025
0.75,0.7,crossing,turn-30,0.3834,0.0
0.75,0.7,crossing,turn-60,0.4572,0.0
0.75,0.7,crossing,turn-90,0.3913,0.0
0.75,0.7,crossing,turn-120,0.3302,0.0
