phase,cell,metric,old,amended,difference
mechanism_discovery,crossing_1,Theta_alpha0.9,0.08577674388431403,0.08577674388431403,0.0
mechanism_discovery,crossing_1,R_raw_alpha0.9,-0.09180367532514344,-0.09180367532514344,0.0
mechanism_discovery,crossing_1,directed_drift_alpha0.9,5.06105159898997,5.06105159898997,0.0
mechanism_discovery,crossing_1,centroid_drift_alpha0.9,5.30139898629011,5.30139898629011,0.0
mechanism_discovery,crossing_1,hausdorff_alpha0.9,6.654861912834703,6.654861912834703,0.0
mechanism_discovery,crossing_1,raw_ratio_alpha0.9,-0.08261661367124329,-0.08261661367124329,0.0
mechanism_discovery,crossing_1,Theta_alpha0.8,0.08983916360786132,0.08983916360786132,0.0
mechanism_discovery,crossing_1,R_raw_alpha0.8,-0.08527510040637998,-0.08527510040637998,0.0
mechanism_discovery,crossing_1,directed_drift_alpha0.8,3.7785869155082947,3.7785869155082947,0.0
mechanism_discovery,crossing_1,centroid_drift_alpha0.8,4.751699885444399,4.751699885444399,0.0
mechanism_discovery,crossing_1,hausdorff_alpha0.8,6.558043945945933,6.558043945945933,0.0
mechanism_discovery,crossing_1,raw_ratio_alpha0.8,-0.1464637146076369,-0.1464637146076369,0.0
mechanism_discovery,head_on_0.7,Theta_alpha0.9,0.08549629567256148,0.08549629567256148,0.0
mechanism_discovery,head_on_0.7,R_raw_alpha0.9,0.5401948764344795,0.5401948764344795,0.0
mechanism_discovery,head_on_0.7,directed_drift_alpha0.9,4.81730936919173,4.81730936919173,0.0
mechanism_discovery,head_on_0.7,centroid_drift_alpha0.9,4.8803708991326396,4.8803708991326396,0.0
mechanism_discovery,head_on_0.7,hausdorff_alpha0.9,6.793922072358022,6.793922072358022,0.0
mechanism_discovery,head_on_0.7,raw_ratio_alpha0.9,0.04868319251883097,0.04868319251883097,0.0
mechanism_discovery,head_on_0.7,Theta_alpha0.8,0.07976765933371094,0.07976765933371094,0.0
mechanism_discovery,head_on_0.7,R_raw_alpha0.8,-0.13572211757639474,-0.13572211757639474,0.0
