phase,geometry,speed,alpha,n_epochs,n_defined,n_episodes_defined,negative_correction_fraction,zero_drift_fraction,outside_domain_fraction,Theta,Theta_centroid,Theta_hausdorff,R_raw,directed_drift,centroid_drift,hausdorff,raw_ratio,nonnegative_ratio,opponent_heading_change,Theta_probe_q25,Theta_probe_q75
discovery,crossing,0.7,0.9,192,192,32,0.421875,0.13541666666666666,0.328125,0.11957094313605682,0.11982485478990954,0.09509028119572747,0.4822431960763258,4.81730936919173,4.8803708991326396,6.793922072358022,0.11070521886263225,0.15726386344300358,60.0,0.0,0.2609650074642436
discovery,crossing,0.7,0.8,192,192,32,0.4479166666666667,0.13541666666666666,0.328125,0.13977069427305555,0.13049380658807613,0.10646793916342716,0.3245639225904543,3.7722968705524664,4.6027924408338174,6.16227766016838,0.06745779366537194,0.19631972319542154,60.0,0.0,0.25975847021882437
discovery,crossing,0.85,0.9,192,192,32,0.4635416666666667,0.13541666666666666,0.328125,0.10833453016332772,0.09636360644251266,0.06966438667798236,0.029220058750568434,4.873692197561,5.5577955010083615,7.193767306409247,-0.0059417678535559175,0.13890559957493537,60.0,0.0,0.24349429020041227
discovery,crossing,0.85,0.8,192,192,32,0.4739583333333333,0.13541666666666666,0.328125,0.11112945868415344,0.10008171067606711,0.08190992512381251,-0.007806064462319351,3.7722968705524664,4.538353973859537,5.99070478491457,-0.03430480072487563,0.14289488818563814,60.0,0.0,0.25105595433961625
discovery,crossing,1.0,0.9,192,192,32,0.46875,0.13541666666666666,0.328125,0.08577674388431403,0.08724740356578344,0.0696459088133868,-0.09180367532514344,5.06105159898997,5.30139898629011,6.654861912834703,-0.08261661367124329,0.10073422177449753,60.0,0.0,0.27185741386471385
discovery,crossing,1.0,0.8,192,192,32,0.4791666666666667,0.13541666666666666,0.328125,0.08983916360786132,0.08490635668509308,0.07470906165934581,-0.08527510040637998,3.7785869155082947,4.751699885444399,6.558043945945933,-0.1464637146076369,0.10987525103071549,60.0,0.0,0.2647705206660517
discovery,crossing,1.15,0.9,192,192,32,0.4947916666666667,0.13541666666666666,0.34375,0.06040835046221898,0.05632108964080833,0.04500310236594722,-0.15173567052636994,4.857878784233826,5.024471012502462,6.327430956417352,-0.09808197491469986,0.06979302773422366,60.0,0.0,0.2463637080177177
discovery,crossing,1.15,0.8,192,192,32,0.4947916666666667,0.13541666666666666,0.34375,0.06789422011016362,0.06415262041766259,0.05156330212794586,-0.283643740785241,3.7722968705524664,4.3604045163815845,6.046768803601324,-0.2096982397980125,0.07870458996991499,60.0,0.0,0.28270353990292363
discovery,crossing,1.3,0.9,192,192,32,0.5052083333333334,0.13541666666666666,0.375,0.01674756835434261,0.017388301403608194,0.0117369922629806,-0.6131987475593035,4.997179806162406,4.989566332429753,6.327430956417352,-0.1596653666682139,0.017608829762478573,60.0,0.0,0.21781117345334935
discovery,crossing,1.3,0.8,192,192,32,0.5208333333333334,0.13541666666666666,0.375,0.02651911899517647,0.014985632073300257,0.009512400984242506,-0.6367298081819313,3.7785869155082947,4.346113897916146,5.99070478491457,-0.1903891720054376,0.02966598180115024,60.0,0.0,0.27176987279049863
confirmatory,head_on,0.75,0.9,192,192,32,0.453125,0.13541666666666666,0.22395833333333334,0.06442169499583122,0.0603243038457649,0.05063148450781958,0.17313275071094392,4.898632107363509,5.2965854767648946,6.932982231881342,-0.013860075003047288,0.0756311962315578,60.0,0.0,0.28610244291477865
confirmatory,head_on,0.75,0.8,192,192,32,0.46875,0.13541666666666666,0.22395833333333334,0.07439953834683594,0.06730031444967759,0.05827741481998121,-0.25827715616332325,3.7722968705524664,4.604610136788841,6.16227766016838,-0.08351833487122808,0.08774667225606955,60.0,0.0,0.2522578201081844
confirmatory,head_on,0.9,0.9,192,192,32,0.515625,0.13541666666666666,0.234375,0.03926001191961085,0.03467959871894965,0.026621856488728505,-0.7121757134838471,4.874362452243162,5.605156646682423,7.193767306409247,-0.1254753513959846,0.04283943249435966,60.0,0.0,0.2297526375971521
confirmatory,head_on,0.9,0.8,192,192,32,0.5,0.13541666666666666,0.234375,0.0585335470952517,0.052427371336467736,0.034695987917446075,-0.7742283153883678,3.784876960464123,4.8685598955017095,6.558043945945933,-0.20653719504535978,0.06630019495145976,60.0,0.0,0.2266977411856291
confirmatory,head_on,1.1,0.9,192,192,32,0.5572916666666666,0.13541666666666666,0.296875,0.0,0.0,0.0,-1.5838687451766695,4.833793037201068,5.1261078995633955,6.327430956417352,-0.31271867919090546,0.0,60.0,0.0,0.1535115866453811
confirmatory,head_on,1.1,0.8,192,192,32,0.5625,0.13541666666666666,0.296875,0.0,0.0,0.0,-1.6343978518702147,3.7722968705524664,4.3604045163815845,6.046768803601324,-0.3941810497991788,0.0,60.0,0.0,0.10209089667156925
confirmatory,head_on,1.25,0.9,192,192,32,0.6302083333333334,0.13541666666666666,0.3229166666666667,0.0,0.0,0.0,-1.9036180050223352,5.118033248758134,5.0271575898745375,6.327430956417352,-0.43036131784592047,0.0,60.0,0.0,0.1015239853137006
confirmatory,head_on,1.25,0.8,192,192,32,0.5989583333333334,0.13541666666666666,0.3229166666666667,0.0,0.0,0.0,-1.6347008754272843,3.7722968705524664,4.388913117100054,6.046768803601324,-0.44293147610823097,0.0,60.0,0.0,0.1367941455059158
