task,mode,episode_seed,return,length
balance,random,9409,-5.715568542480469,100
balance,random,9410,-33.60113525390625,66
balance,random,9411,-7.8311920166015625,100
balance,random,9412,-5.7436065673828125,100
balance,random,9413,-3.696533203125,100
balance,random,9414,-4.99896240234375,100
balance,random,9415,-6.29791259765625,100
balance,random,9416,-39.05607604980469,66
balance,random,9417,-5.144554138183594,100
balance,random,9418,-35.487762451171875,40
balance,random,9419,-34.28627014160156,43
balance,random,9420,-46.937164306640625,48
balance,random,9421,-42.82960510253906,69
balance,random,9422,-3.1410369873046875,100
balance,random,9423,-41.57757568359375,91
balance,random,9424,-46.316619873046875,44
balance,random,9425,-45.11741638183594,66
balance,random,9426,-46.40716552734375,68
balance,random,9427,-38.95234680175781,79
balance,random,9428,-41.02880859375,44
balance,random,9429,-5.38970947265625,100
balance,random,9430,-8.0504150390625,100
balance,random,9431,-39.670875549316406,73
balance,random,9432,-41.86756896972656,70
balance,random,9433,-38.07037353515625,30
balance,random,9434,-4.4696044921875,100
balance,random,9435,-43.91278839111328,65
balance,random,9436,-41.76708984375,54
balance,random,9437,-40.755615234375,50
balance,random,9438,-33.32908630371094,38
balance,random,9439,-2.3206787109375,100
balance,random,9440,-39.49351501464844,36
balance,random,9441,-36.56694030761719,36
balance,random,9442,-31.948837280273438,59
balance,random,9443,-35.28199768066406,34
balance,random,9444,-2.570709228515625,100
balance,random,9445,-9.004074096679688,100
balance,random,9446,-8.951614379882812,100
balance,random,9447,-5.850425720214844,100
balance,random,9448,-15.230941772460938,100
balance,random,9449,-37.224609375,62
balance,random,9450,-1.9654998779296875,100
balance,random,9451,-4.205474853515625,100
balance,random,9452,-3.218170166015625,100
balance,random,9453,-34.55891418457031,60
balance,random,9454,-39.14472198486328,31
balance,random,9455,-4.9844512939453125,100
balance,random,9456,-43.595420837402344,60
balance,random,9457,-32.591766357421875,54
balance,random,9458,-43.324859619140625,46
balance,random,9459,-35.967498779296875,62
balance,random,9460,-10.420578002929688,100
balance,random,9461,-5.792816162109375,100
balance,random,9462,-31.664154052734375,60
balance,random,9463,-6.9243621826171875,100
balance,random,9464,-35.67878723144531,43
balance,random,9465,-40.675987243652344,36
balance,random,9466,-42.87883758544922,35
balance,random,9467,-5.100677490234375,100
balance,random,9468,-36.963043212890625,46
balance,random,9469,-3.910675048828125,100
balance,random,9470,-40.99205017089844,47
balance,random,9471,-43.349945068359375,60
balance,random,9472,-37.44703674316406,43
balance,random,9473,-7.553741455078125,100
balance,random,9474,-39.583282470703125,70
balance,random,9475,-4.8555450439453125,100
balance,random,9476,-35.4744873046875,73
balance,random,9477,-37.47807312011719,99
balance,random,9478,-34.96465301513672,55
balance,random,9479,-6.8701629638671875,100
balance,random,9480,-38.53083801269531,55
balance,random,9481,-35.54722595214844,46
balance,random,9482,-44.43571472167969,43
balance,random,9483,-41.88029479980469,95
balance,random,9484,-44.4305419921875,41
balance,random,9485,-40.65559387207031,35
balance,random,9486,-2.9738845825195312,100
balance,random,9487,-32.07920837402344,49
balance,random,9488,-34.590797424316406,40
balance,random,9489,-48.54542541503906,65
balance,random,9490,-33.651145935058594,53
balance,random,9491,-35.13606262207031,74
balance,random,9492,-3.4283294677734375,100
balance,random,9493,-35.255401611328125,88
balance,random,9494,-38.769081115722656,29
balance,random,9495,-1.866943359375,100
balance,random,9496,-33.02677917480469,82
balance,random,9497,-4.2789459228515625,100
balance,random,9498,-39.32574462890625,42
balance,random,9499,-42.74061584472656,42
