message_id,kind,side,sender,recipient,issued_turn,issued_phase,sender_hex,recipient_hex,hex_distance,tbs_range_hex,distance_within_tbs,optical_range_hex_v2_2_rule,selected_medium,relay_hops,handling_delay,encoding_delay,relay_delay,reencipher_delay,queue_delay,clarification_delay,total_delay,route_reason,delivered_turn,status,in_person,report_author,flags,corrected_medium_v2_3,corrected_base_delay_v2_3,medium_changed,range_nmi
MSG-00116,acknowledgement,axis,IBS-U-IJN-ERMA-KAZEGUMO,axis-battle-line,10,movement_planning,"(1, 9)","(12, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,10,delivered,False,,,tbs_short,0,False,3.26
MSG-00117,contact_report,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,10,movement_planning,"(0, 19)","(26, -3)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,12,delivered,False,allies-cruiser-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00118,acknowledgement,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,10,movement_planning,"(0, 19)","(26, -3)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,12,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00119,sitrep,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,10,movement_planning,"(1, 38)","(26, -3)",41,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,12,delivered,False,allies-destroyer-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,12.15
MSG-00120,acknowledgement,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,10,movement_planning,"(1, 38)","(26, -3)",41,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,12,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,12.15
MSG-00121,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-battle-line,11,movement_planning,"(15, -5)","(12, -2)",3,73,False,,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,11,delivered,True,,,face_to_face,0,True,0.89
MSG-00122,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-destroyer-line,11,movement_planning,"(15, -5)","(0, 9)",15,73,True,,tbs_short,0,1,,,,,,1,within tactical range with line of sight,12,delivered,False,,,tbs_short,0,False,4.44
MSG-00123,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-battle-line,11,movement_planning,"(26, -4)","(26, -4)",0,73,False,13,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,11,delivered,True,,,face_to_face,0,True,0.0
MSG-00124,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-cruiser-line,11,movement_planning,"(26, -4)","(0, 19)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,,queued,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00125,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-destroyer-line,11,movement_planning,"(26, -4)","(1, 38)",42,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,,queued,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,12.44
MSG-00126,contact_report,axis,IBS-U-IJN-ERMA-KAZEGUMO,axis-battle-line,11,movement_planning,"(0, 9)","(12, -2)",12,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,11,delivered,False,axis-destroyer-line,,tbs_short,0,False,3.55
MSG-00127,acknowledgement,axis,IBS-U-IJN-ERMA-KAZEGUMO,axis-battle-line,11,movement_planning,"(0, 9)","(12, -2)",12,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,11,delivered,False,,,tbs_short,0,False,3.55
MSG-00128,contact_report,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,11,movement_planning,"(0, 19)","(26, -4)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,,queued,False,allies-cruiser-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00129,acknowledgement,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,11,movement_planning,"(0, 19)","(26, -4)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,,queued,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
