geometry,eta_r,eta_v,K,iter,V,L,U,rel_gap,evals,methods_b,methods_r
head_on,1.0,1.0,6,1,-0.0,-0.0,18.5683,18.5683,36878,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.0,6,2,1.9226,1.9226,12.2761,5.3853,35095,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.0,6,3,-5.9662,-5.9662,19.2259,4.2225,34764,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.0,6,4,5.6285,5.6285,12.6178,1.2418,33131,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.2,6,1,6.3626,6.3626,17.8504,1.8055,36609,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.2,6,2,7.2377,7.2377,17.8895,1.4717,29697,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.2,6,3,7.4548,7.4548,16.1142,1.1616,30537,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.2,1.2,6,4,10.7446,10.7446,20.5794,0.9153,31166,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.2,6,1,-1.5008,-1.5008,15.2345,11.151,41901,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.2,6,2,6.944,6.944,28.5033,3.1048,34431,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.2,6,3,4.4699,4.4699,9.7521,1.1817,35253,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.0,1.2,6,4,-4.8477,-4.8477,12.2149,3.5197,36874,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.0,1.0,6,1,-0.0,-0.0,12.1358,12.1358,32464,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.0,1.0,6,2,-0.0,-0.0,15.2639,15.2639,30435,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.0,1.0,6,3,-0.1427,-0.1427,5.8381,5.9808,30932,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
